"V1","V2","V3","V4","V5","V6"
1,1,1,1,1,1
1,0.991831358279641,1,0.914196105546669,1,0.700797062762117
1,0.983662716559282,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.975494074838923,0,0,0,0
1,0.967325433118564,1,1,1,1
1,0.959156791398205,1,0.914196105546669,1,0.700797062762117
1,0.950988149677846,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.942819507957487,0,0,0,0
1,0.934650866237128,1,1,1,1
1,0.926482224516769,1,0.914196105546669,1,0.700797062762117
1,0.91831358279641,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.910144941076051,0,0,0,0
1,0.901976299355692,1,1,1,1
1,0.893807657635333,1,0.914196105546669,1,0.700797062762117
1,0.885639015914974,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.877470374194615,0,0,0,0
1,0.869301732474256,1,1,1,1
1,0.861133090753897,1,0.914196105546669,1,0.700797062762117
1,0.852964449033538,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.844795807313179,0,0,0,0
1,0.83662716559282,1,1,1,1
1,0.828458523872462,1,0.914196105546669,1,0.700797062762117
1,0.820289882152103,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.812121240431744,0,0,0,0
1,0.803952598711385,1,1,1,1
1,0.795783956991026,1,0.914196105546669,1,0.700797062762117
1,0.787615315270667,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.779446673550308,0,0,0,0
1,0.771278031829949,1,1,1,1
1,0.76310939010959,1,0.914196105546669,1,0.700797062762117
1,0.754940748389231,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.746772106668872,0,0,0,0
1,0.738603464948513,1,1,1,1
1,0.730434823228154,1,0.914196105546669,1,0.700797062762117
1,0.722266181507795,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.714097539787436,0,0,0,0
1,0.705928898067077,1,1,1,1
1,0.697760256346718,1,0.914196105546669,1,0.700797062762117
1,0.689591614626359,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.681422972906,0,0,0,0
1,0.673254331185641,1,1,1,1
1,0.665085689465282,1,0.914196105546669,1,0.700797062762117
1,0.656917047744923,0.398025806371022,0.189641582693992,0.443252289348397,0.289685434281935
1,0.648748406024564,0,0,0,0
1,0.640579764304205,1,1,1,1
